C6,Poinarita,Diana,0712345678,poinaritadiana@fmi.ro,dianap,password123
C7,Ionescu,Maria,0712345678,ionescumaria@fmi.ro,mariai,password123
C8,Popescu,Mircea,0712345678,popescumircea@fmi.ro,mirceap,password123
C9,Iordache,Ioana,0712345678,iordacheioana@fmi.ro,ioanai,password123
C10,Mihailescu,Andrei,0712345678,mihailescuandrei@fmi.ro,andreim,password123
C11,Petre,Ioan,0712345678,petreioan@fmi.ro,petrei,password123
C12,Constantin,Mihai,0712345678,constantinmihai@fmi.ro,mihaic,password123
C13,Oprescu,Cristian,0712345678,oprescucristian@fmi.ro,cristianopr,password123
C14,Paraschiv,Alexandru,0712345678,paraschivalexandru@fmi.ro,alexparaschiv,password123
C15,userTest,userTest,0712345678,usertest@test.ro,userTest,password123
